"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LRP8",-1.4871,10.86225,-19.0764219750886,8.24567097049718e-10,6.34445483529969e-08,13.1052283958893
"LYAR",-1.84472333333333,9.41513833333333,-19.0607346462231,8.31894459875201e-10,6.37481400939325e-08,13.0960718697883
"TMPRSS5",1.61824666666667,9.43414333333333,18.9196697514807,9.01059745722803e-10,6.87687338729578e-08,13.0133817665471
"ASF1B",-1.7371,11.19875,-18.8843961883472,9.19316219078602e-10,6.98791534106884e-08,12.992605327027
"SLC14A1",-2.25027333333334,8.05304333333333,-18.8555044414577,9.34569554873121e-10,7.07532958992498e-08,12.9755579570216
"C3",1.41104333333333,8.81459833333333,18.8223853811626,9.5239420431711e-10,7.17893768015571e-08,12.955983093262
"FANCB",-1.66000333333333,8.98906833333333,-18.816003034552,9.55871496323316e-10,7.17893768015571e-08,12.9522067536568
"H2BC14",-1.74393333333333,13.0233666666667,-18.7890143727749,9.70729163589801e-10,7.24284586380468e-08,12.9362233445512
"KCNN4",-1.27079333333333,8.79517666666666,-18.7866096405417,9.72065144312018e-10,7.24284586380468e-08,12.9347980490469
"MCM2",-1.62666666666666,10.0209,-18.7258932773623,1.00646856943251e-09,7.46966102455603e-08,12.8987487380858
"CDCA4",-1.40741666666667,9.54995833333333,-18.7087078113266,1.01644518253956e-09,7.51412083766795e-08,12.8885232885823
"GRIK2",1.87146666666667,10.2563,18.6993910770569,1.02189871996632e-09,7.52492686331448e-08,12.8829757344259
"RAPH1",-1.35660333333333,9.293785,-18.6536319608044,1.0491498735808e-09,7.68639298104414e-08,12.8556875611845
"PCNA",-1.40524,10.5398466666667,-18.6443802624883,1.05475508735914e-09,7.68639298104414e-08,12.850161994383
"LY96",2.67874333333333,6.79463833333333,18.6422366597105,1.05605844893663e-09,7.68639298104414e-08,12.8488813273979
"TNIK",1.42649333333333,9.21911666666667,18.6132121768067,1.07387955713679e-09,7.78603981984065e-08,12.831526109024
"RAD54L",-1.92784333333333,7.899625,-18.5370865172182,1.12219424503527e-09,8.1051661736245e-08,12.7858741720442
"HMGA2",-1.56638,9.78467666666667,-18.4255723677835,1.19728976754682e-09,8.61454557558208e-08,12.7186512636494
"SPON2",1.45876666666667,9.14901,18.3361545381819,1.26145697629338e-09,9.04172070726481e-08,12.6644463455256
"LRP1",1.22137333333333,10.0328466666667,18.3213105236343,1.27246670294018e-09,9.08163169245929e-08,12.6554217315512
"ANXA9",1.72287666666667,8.83926166666667,18.3156931060802,1.27666033552687e-09,9.08163169245929e-08,12.6520045960239
"CYP1B1",2.94881333333334,9.11706,18.2902214481253,1.29586552192038e-09,9.18359434350414e-08,12.6364964402766
